Sweep Target,Sweep Value,Year,Cumulative Cash
Fixed Ops Multiplier,0.6,10,76321246.22356497
Fixed Ops Multiplier,0.7,0,-11625000.0
Fixed Ops Multiplier,0.7,1,-6153084.592145012
Fixed Ops Multiplier,0.7,2,-681169.1842900235
Fixed Ops Multiplier,0.7,3,4790746.223564965
Fixed Ops Multiplier,0.7,4,14937246.223564964
Fixed Ops Multiplier,0.7,5,25083746.223564964
Fixed Ops Multiplier,0.7,6,35230246.22356497
Fixed Ops Multiplier,0.7,7,45376746.22356497
Fixed Ops Multiplier,0.7,8,55523246.22356497
Fixed Ops Multiplier,0.7,9,65669746.22356497
Fixed Ops Multiplier,0.7,10,75816246.22356497
Fixed Ops Multiplier,0.8,0,-11625000.0
Fixed Ops Multiplier,0.8,1,-6203584.592145012
Fixed Ops Multiplier,0.8,2,-782169.1842900235
Fixed Ops Multiplier,0.8,3,4639246.223564965
Fixed Ops Multiplier,0.8,4,14735246.223564964
Fixed Ops Multiplier,0.8,5,24831246.223564964
Fixed Ops Multiplier,0.8,6,34927246.22356497
Fixed Ops Multiplier,0.8,7,45023246.22356497
Fixed Ops Multiplier,0.8,8,55119246.22356497
Fixed Ops Multiplier,0.8,9,65215246.22356497
Fixed Ops Multiplier,0.8,10,75311246.22356497
Fixed Ops Multiplier,0.9,0,-11625000.0
Fixed Ops Multiplier,0.9,1,-6254084.592145012
Fixed Ops Multiplier,0.9,2,-883169.1842900235
Fixed Ops Multiplier,0.9,3,4487746.223564965
Fixed Ops Multiplier,0.9,4,14533246.223564964
Fixed Ops Multiplier,0.9,5,24578746.223564964
